reaction_name	molecule_A	molecule_B	bond_type	atom_1	atom_2
rxn_710	"""campest-4-en-3β-ol"""	"""campest-4-en-3-one"""	singleR	3	31
rxn_711	"""(5α)-campestan-3-one"""	"""campest-4-en-3-one"""	single	4	5
rxn_711	"""campest-4-en-3-one"""	"""(5α)-campestan-3-one"""	double	4	5
rxn_712	"""(5α)-campestan-3-one"""	"""campestanol"""	double	3	31
rxn_712	"""campestanol"""	"""(5α)-campestan-3-one"""	singleR	3	31
rxn_773	"""6-deoxocathasterone"""	"""campestanol"""	singleR	22	34
rxn_774	"""6-deoxoteasterone"""	"""6-deoxocathasterone"""	singleR	23	32
rxn_775	"""3-dehydro-6-deoxoteasterone"""	"""6-deoxoteasterone"""	double	3	31
rxn_775	"""6-deoxoteasterone"""	"""3-dehydro-6-deoxoteasterone"""	singleR	3	31
rxn_776	"""3-dehydro-6-deoxoteasterone"""	"""6-deoxotyphasterol"""	double	3	31
rxn_776	"""6-deoxotyphasterol"""	"""3-dehydro-6-deoxoteasterone"""	singleS	3	31
